epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1106.95,0.8742,0.72191,0.94388,0.97785,0.88743,0.95627,0.53125,1.57614,0.76672,1.24666,0.000169908,0.000169908,0.000169908
91,1116.51,0.80125,0.85349,0.94127,0.89534,0.94853,0.95121,0.53809,1.58264,0.76999,1.25499,0.000155761,0.000155761,0.000155761
92,1126.09,0.92629,0.82462,0.98389,0.96501,0.88816,0.95328,0.54339,1.56329,0.77765,1.26177,0.000141614,0.000141614,0.000141614
93,1136.14,0.99186,0.85922,0.98158,0.96484,0.89191,0.95406,0.54791,1.54879,0.77504,1.26234,0.000127467,0.000127467,0.000127467
94,1146.05,0.79458,1.04643,0.78224,0.9323,0.94796,0.95422,0.53683,1.5441,0.77547,1.26496,0.00011332,0.00011332,0.00011332
95,1155.55,0.87045,0.8227,0.91327,0.90138,0.95,0.92996,0.51684,1.55738,0.8002,1.28343,9.91726e-05,9.91726e-05,9.91726e-05
96,1165.2,0.68754,1.10823,0.79976,0.88526,0.93168,0.92058,0.51824,1.56822,0.81772,1.29222,8.50255e-05,8.50255e-05,8.50255e-05
97,1174.8,0.89419,0.8483,0.95125,0.88255,0.93066,0.92029,0.51823,1.57087,0.81988,1.29487,7.08784e-05,7.08784e-05,7.08784e-05
98,1186.84,1.14876,1.21492,1.05264,0.8832,0.93182,0.92058,0.52247,1.57026,0.81677,1.29298,5.67313e-05,5.67313e-05,5.67313e-05
99,1222.58,0.79961,0.80419,0.93393,0.90397,0.93196,0.93239,0.52782,1.57327,0.81178,1.29171,4.25842e-05,4.25842e-05,4.25842e-05
100,1232.66,0.85313,0.81849,0.89845,0.92445,0.93651,0.94397,0.52806,1.58565,0.80489,1.29064,2.84371e-05,2.84371e-05,2.84371e-05
